ID,Raw Reads,Score_Insect,King_Insect,Phy_Insect,Cla_Insect,Ord_Insect,Fam_Insect,Gen_Insect,Spec_Insect,Taxon_Insect,BestID_Eco,SupKing_Eco,King_Eco,Phy_Eco,Cla_Eco,Ord_Eco,Fam_Eco,Gen_Eco,Spec_Eco,Taxon_Eco,PercId_OA_barcodes,Cov_OA_barcodes,PercID_biocode,Cov_biocode,OAtaxon,BioCodePhyla,BioClass,BioOrder,BioFamily,BioGenus,BioSpecies,FinalPhylum,FinalKingdom,PhyKing,Class,Order,Family,Genus,Species,Calcify,TaxaFrequency
OTU_1,111313,1,Metazoa,MOLLUSCA,Gastropoda,Littorinimorpha,Hipponicidae,Antisabia,,Antisabia,0.858934169,Opisthokonta,Metazoa,MOLLUSCA,Gastropoda,Littorinimorpha,,,,Vanikoroidea,100,100,87.797,94,Gastropoda,MOLLUSCA,,,,,,MOLLUSCA,Metazoa,MOLLUSCA Metazoa,Gastropoda,Littorinimorpha,Hipponicidae,Antisabia,,Yes,2
OTU_1012,13,1,,,,,,,,Eukaryota,0.888888889,Chromalveolata,Stramenopiles,BACILLARIOPHYTA,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,AO711,AO711,NA,,,,,,,,,,,BACILLARIOPHYTA,MicroAlgae,BACILLARIOPHYTA MicroAlgae,,,,,,No,6
OTU_100,12681,,,,,,,,,root,,,,,,,,,,,NA,,96.785,100,,ANNELIDA,Polychaeta,Eunicida,Eunicidae,Nematonereis,,ANNELIDA,Metazoa,ANNELIDA Metazoa,Polychaeta,Eunicida,Eunicidae,Nematonereis,,No,2
OTU_1297,7,1,,,,,,,,Eukaryota,0.945686901,Chromalveolata,Stramenopiles,BACILLARIOPHYTA,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,AO711,AO711,NA,,,,,,,,,,,BACILLARIOPHYTA,MicroAlgae,BACILLARIOPHYTA MicroAlgae,Bacillariophyceae,Bacillariales,,,,No,4
OTU_1551,6,1,,,,,,,,Eukaryota,0.892063492,Chromalveolata,Stramenopiles,BACILLARIOPHYTA,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,AO711,AO711,NA,,,,,,,,,,,BACILLARIOPHYTA,MicroAlgae,BACILLARIOPHYTA MicroAlgae,,,,,,No,6
OTU_1560,14,1,,,,,,,,Eukaryota,0.891719745,Chromalveolata,Stramenopiles,BACILLARIOPHYTA,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,AO711,AO711,NA,,,,,,,,,,,BACILLARIOPHYTA,MicroAlgae,BACILLARIOPHYTA MicroAlgae,,,,,,No,6
OTU_1644,7,0.9552,,,,,,,,Eukaryota,0.872204473,Chromalveolata,Stramenopiles,BACILLARIOPHYTA,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia frustulum,Nitzschia frustulum,NA,,,,,,,,,,,BACILLARIOPHYTA,MicroAlgae,BACILLARIOPHYTA MicroAlgae,,,,,,No,6
OTU_1687,11,1,Stramenopiles,BACILLARIOPHYTA,Bacillariophyceae,,,,,Bacillariophycidae,0.851735016,Chromalveolata,Stramenopiles,BACILLARIOPHYTA,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,AX514,AX514,NA,,,,,,,,,,,BACILLARIOPHYTA,MicroAlgae,BACILLARIOPHYTA MicroAlgae,Bacillariophyceae,,,,,No,5
OTU_857,22,1,,,,,,,,Eukaryota,0.911111111,Chromalveolata,Stramenopiles,BACILLARIOPHYTA,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,AO711,AO711,NA,,,,,,,,,,,BACILLARIOPHYTA,MicroAlgae,BACILLARIOPHYTA MicroAlgae,Bacillariophyceae,,,,,No,5
OTU_939,22,1,,,,,,,,Eukaryota,0.879365079,Chromalveolata,Stramenopiles,BACILLARIOPHYTA,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,AO711,AO711,NA,,,,,,,,,,,BACILLARIOPHYTA,MicroAlgae,BACILLARIOPHYTA MicroAlgae,,,,,,No,6
OTU_111,11366,,,,,,,,,root,0.898412698,Opisthokonta,Metazoa,,,,,,,Metazoa,98.722,100,90.323,99,Hymeniacidon,PORIFERA,Demospongiae,Suberitida,Halichondridae,Hymeniacidon,,PORIFERA,Metazoa,PORIFERA Metazoa,Demospongiae,Suberitida,Halichondridae,Hymeniacidon,,No,2
OTU_2328,4,1,Metazoa,,,,,,,Protostomia,0.911392405,Opisthokonta,Metazoa,ANNELIDA,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,Dodecaceria sp. AMW23009,Dodecaceria sp. AMW23009,NA,,,,,,,,,,,ANNELIDA,Metazoa,ANNELIDA Metazoa,Polychaeta,,,,,No,5
OTU_825,32,1,,,,,,,,Eukaryota,0.914285714,Opisthokonta,Metazoa,ANNELIDA,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,Dodecaceria sp. AMW23009,Dodecaceria sp. AMW23009,NA,,,,,,,,,,,ANNELIDA,Metazoa,ANNELIDA Metazoa,Polychaeta,,,,,No,5
OTU_1125,16,1,Metazoa,,,,,,,Metazoa,,,,,,,,,,,89.542,97,90.523,98,Dysidea,PORIFERA,,,,,,PORIFERA,Metazoa,PORIFERA Metazoa,,,,,,No,6
