OTU,Mineral,Phylum,Class,Subclass,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus,Subgenus,Species
OTU42,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,Astrophorina,,,Ancorinidae,,,,Ancorinidae sp. 1
OTU43,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,Astrophorina,,,Ancorinidae,,,,Ancorinidae sp. 2
OTU44,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,Astrophorina,,,Ancorinidae,,,,Ancorinidae sp. 3
OTU46,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,Astrophorina,,,Ancorinidae,,,,Ancorinidae sp. 5
OTU48,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,Astrophorina,,,Ancorinidae,,,,Ancorinidae sp. 7
OTU49,Non Calcifying,Porifera,Demospongiae,Keratosa,Dendroceratida,,,,Darwinellidae,,Aplysilla,,Aplysilla rosea
OTU25,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,,,,Chalinidae,,,,Chalinidae sp. 1
OTU56,Non Calcifying,Porifera,Demospongiae,Keratosa,Dendroceratida,,,,Darwinellidae,,Chelonaplysilla,,Chelonaplysilla sp. 1
OTU58,Non Calcifying,Porifera,Demospongiae,Verongimorpha,Chondrillida,,,,,,,,Chondrillida sp. 1
OTU97,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,,,,Chalinidae,,Cladocroce,,Cladocroce burapha
OTU23,Calcifying,Porifera,Calcarea,Calcinea,Clathrinida,,,,,,,,Clathrinida sp. 1
OTU7,Calcifying,Porifera,Calcarea,Calcinea,Clathrinida,,,,Clathrinidae,,,,Clathrinidae sp. 1
OTU8,Calcifying,Porifera,Calcarea,Calcinea,Clathrinida,,,,Clathrinidae,,,,Clathrinidae sp. 2
OTU9,Calcifying,Porifera,Calcarea,Calcinea,Clathrinida,,,,Clathrinidae,,,,Clathrinidae sp. 3
OTU10,Calcifying,Porifera,Calcarea,Calcinea,Clathrinida,,,,Clathrinidae,,,,Clathrinidae sp. 4
OTU11,Calcifying,Porifera,Calcarea,Calcinea,Clathrinida,,,,Clathrinidae,,,,Clathrinidae sp. 5
OTU50,Non Calcifying,Porifera,Demospongiae,Keratosa,Dictyoceratida,,,,,,,,Dictyoceratida sp. 1
OTU90,Non Calcifying,Porifera,Demospongiae,Keratosa,Dictyoceratida,,,,Dysideidae,,Dysidea,,Dysidea sp. 3
OTU57,Non Calcifying,Porifera,Demospongiae,Keratosa,Dictyoceratida,,,,Dysideidae,,Dysidea,,Dysidea sp. 5
OTU78,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,,,,Halichondriidae,,Halichondria,,Halichondria sp. 1
OTU27,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,,,,Chalinidae,,Haliclona,,Haliclona sp. 1
OTU28,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,,,,Chalinidae,,Haliclona,,Haliclona sp. 2
OTU26,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,,,,Chalinidae,,Haliclona,,Haliclona sp. 24
OTU32,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,,,,Chalinidae,,Haliclona,,Haliclona sp. 4
OTU29,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,,,,,,,,Haplosclerida sp. 1
