"Sample","OTU_111","OTU_1125","OTU_128","OTU_132","OTU_142","OTU_145","OTU_147","OTU_161","OTU_168","OTU_195","OTU_196","OTU_1973","OTU_2","OTU_21","OTU_213","OTU_217","OTU_222","OTU_223","OTU_274","OTU_304","OTU_306","OTU_310","OTU_324","OTU_346","OTU_354","OTU_445","OTU_449","OTU_45","OTU_454","OTU_49","OTU_506","OTU_514","OTU_524","OTU_58","OTU_591","OTU_6","OTU_602","OTU_722","OTU_88","OTU_907","OTU_92"
"ArmsMeso6",0,0,0,0,0,0,0,0,0,0,0,0,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArmsMeso7",401,3,0,0,0,0,0,0,0,0,0,0,2980,0,0,0,0,0,0,5,0,0,0,0,7,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,14
"ArmsMeso8",0,0,93,0,0,158,0,0,0,0,7,0,3001,0,0,0,4,54,0,0,0,0,5,0,0,0,0,0,0,0,0,30,0,0,0,10,0,0,0,0,0
"ArmsMeso9",203,0,0,0,0,0,0,0,10,0,0,0,2743,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,317,0,6,0,0,0,0,0,0,0,0,11
"ArmsMeso10",0,0,700,0,0,22,0,0,0,0,0,0,663,52,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,15
"ArmsMeso11",49,0,0,0,0,0,0,0,0,7,0,0,331,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"ArmsMeso17",0,0,0,404,0,8,0,955,0,0,0,0,5007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArmsMeso18",0,0,229,76,0,0,0,0,4,0,0,0,49,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,19,0,0,0,4,0,0,0,0
"ArmsMeso19",0,0,0,2,0,12,0,0,0,0,0,0,104,71,0,0,0,433,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"ArmsMeso20",0,0,0,885,0,32,0,0,0,0,0,0,65,735,4,11,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"ArmsMeso21",0,0,0,0,0,0,0,0,0,0,616,0,573,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArmsMeso22",13,0,0,91,0,54,0,0,51,0,0,0,182,0,0,0,0,0,0,0,0,0,25,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArmsMeso1",0,0,0,0,0,0,0,0,0,0,0,0,4051,277,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArmsMeso2",1143,0,0,0,0,0,0,0,0,0,0,0,1108,157,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,49,0,0
"ArmsMeso3",143,0,0,0,0,6,0,404,0,0,0,0,1192,0,0,66,0,0,0,0,0,0,0,0,0,0,19,2581,10,0,0,0,0,0,7,0,0,0,0,0,0
"ArmsMeso4",182,0,0,0,0,211,0,0,0,0,0,0,164,4708,0,0,0,0,0,35,0,0,0,0,35,0,0,0,0,0,0,15,0,0,0,0,0,0,210,0,0
"ArmsMeso5",0,0,0,0,0,4,0,194,7,5,0,0,410,0,0,33,0,0,0,0,0,0,0,35,0,0,0,368,0,58,0,11,0,0,0,0,0,0,0,0,0
"ArmsMeso12",24,0,0,0,0,175,0,0,0,64,0,0,210,36,0,0,50,0,3,0,0,21,0,0,0,4,0,4,0,0,0,8,0,0,0,0,4,0,0,0,0
"ArmsMeso13",5,0,3,0,0,0,0,0,0,0,3,0,39,321,0,19,0,3,9,0,0,0,0,0,0,0,0,11,0,0,0,0,0,52,0,12176,0,0,0,0,0
"ArmsMeso14",0,0,0,0,150,79,0,0,74,0,0,0,413,233,0,11,0,0,13,0,0,0,0,0,0,0,0,5,0,8,0,0,0,69,0,0,0,0,0,0,0
"ArmsMeso15",124,0,54,3,11,0,51,0,0,0,0,0,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,342,0,9,0,306,0,0,0,0,120,0,132
"ArmsMeso16",0,0,0,65,0,0,0,4,0,15,86,12,639,3,42,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,3,0,0,0,0,0,0,0,0,0,0
